resort_name,state,summit,base,vertical,lifts,runs,acres,green_percent,green_acres,blue_percent,blue_acres,black_percent,black_acres,lat,lon
"Sierra at Tahoe, CA",California,8852,6640,2212,14,46,2000,0.25,500,0.5,1000,0.25,500,38.81,-120.07
"Silver Mountain, ID",Idaho,6300,4100,2200,7,73,1600,0.2,320,0.4,640,0.4,640,48.96,-116.74
"Silverton, CO",Colorado,13487,10400,3087,1,69,1819,0,0,0,0,1,1819,37.82,-107.66
"Sipapu, NM",New Mexico,9255,8200,1055,5,41,200,0.2,40,0.4,80,0.4,80,36.15,-105.55
"Ski Apache, NM",New Mexico,12000,10100,1900,11,55,750,0.2,150,0.6,450,0.2,150,33.4,-105.78
"Ski Bluewood, WA",Washington,5670,4545,1125,3,24,430,0.27,116.1,0.43,184.9,0.3,129,47.75,-120.74
"Ski Bradford, MA",Massachusetts ,1548,1300,248,10,15,48,0.1,4.8,0.8,38.4,0.1,4.8,42.76,-71.06
"Ski Brule, MI",Michigan,1861,1361,500,11,17,150,0.2,30,0.5,75,0.3,45,44.32,-85.6
"Ski Butternut, MA",Massachusetts ,1800,800,1000,11,22,110,0.2,22,0.6,66,0.2,22,42.4,-71.39
"Ski Cooper, CO",Colorado,11700,10500,1200,5,26,400,0.3,120,0.4,160,0.3,120,39.36,-106.3
"Ski Denton, PA",Pennsylvania,2500,1850,650,4,22,75,0.35,26.25,0.35,26.25,0.3,22.5,41.19,-77.21
"Ski Granby, CO",Colorado,9202,8202,1000,5,33,406,0.5,203,0.3,121.8,0.2,81.2,39.92,-105.79
"Ski Mystic, SD",South Dakota,6850,6000,850,4,44,300,0.4,120,0.4,120,0.2,60,44.08,-103.63
"Ski Santa Fe, NM",New Mexico,12075,10350,1725,7,74,660,0.2,132,0.4,264,0.4,264,35.72,-105.89
"Ski Sawmill, PA",Pennsylvania,2215,1700,515,5,12,15,0.33,4.95,0.34,5.1,0.33,4.95,41.52,-77.29
"Ski Sundown, CT",Connecticut,1075,450,625,5,15,65,0.5,32.5,0.25,16.25,0.25,16.25,41.6,-73.09
"Ski Ward, MA ",Massachusetts ,410,200,220,6,9,45,0.3,13.5,0.6,27,0.1,4.5,42.4,-71.39
"Sleeping Giant, WY",Wyoming,7428,6619,810,3,49,184,0.15,27.6,0.41,75.44,0.44,80.96,44.52,-109.84
"Smuggler's Notch, VT",Vermont,3640,1030,2610,8,78,1000,0.19,190,0.5,500,0.31,310,44.55,-72.79
"Snow Creek, MO",Missouri,1100,850,300,6,12,25,0.3,7.5,0.6,15,0.1,2.5,36.98,-90.36
"Snow King, WY",Wyoming,7808,6237,1571,5,31,400,0.15,60,0.25,100,0.6,240,43.46,-110.76
"Snow Ridge, NY",New York,2000,1350,500,6,22,130,0.2,26,0.55,71.5,0.25,32.5,42.03,-74.09
"Snow Snake, MI",Michigan,1230,1020,210,6,12,40,0.3,12,0.5,20,0.2,8,44.32,-85.6
"Snow Trails, OH",Ohio,1475,1174,300,7,17,80,0.2,16,0.6,48,0.2,16,40.67,-82.51
"Snowbasin MT, UT",Utah,9350,6400,2950,10,113,3000,0.2,600,0.5,1500,0.3,900,39.32,-111.09
"Snowbird, UT",Utah,11000,7600,3400,12,89,2500,0.27,675,0.38,950,0.35,875,40.58,-111.65
"Snowhaven, ID",Idaho,5600,5200,400,2,9,40,0.75,30,0.25,10,0,0,45.87,-116.09
"Snowmass, CO",Colorado,12510,8104,4406,21,91,3362,0.06,201.72,0.5,1681,0.44,1479.28,39.18,-106.94
"Snowshoe Mountain, WV",West Virginia,4848,3348,1500,15,60,230,0.42,96.6,0.3,69,0.28,64.4,38.61,-80.45
"Snowstar, IL",Illinois,790,528,262,6,14,28,0.25,7,0.5,14,0.25,7,40.63,-89.39
"Snowy Range, WY",Wyoming,10000,9000,1000,5,27,250,0.3,75,0.4,100,0.3,75,41.17,-106.24
"Soldier Mountain, ID",Idaho,7150,5740,1410,3,36,1150,0.25,287.5,0.6,690,0.15,172.5,44.71,-115.09
"Solitude, UT",Utah,10035,7988,2047,7,65,1200,0.2,240,0.5,600,0.3,360,40.63,-111.59
"Song Mountain, NY",New York,1940,1240,700,5,24,100,0.58,58,0.29,29,0.13,13,42.78,-76.18
"Spirit Mountain, MN",Minnesota,1320,620,700,8,22,175,0.32,56,0.32,56,0.36,63,46.71,-92.23
"Spout Springs, OR",Oregon,5500,4850,635,2,16,250,0.45,112.5,0.35,87.5,0.2,50,45.75,-118.05
"Spring Mountain, PA",Pennsylvania,528,108,420,6,8,100,0.4,40,0.4,40,0.2,20,40.26,-75.45
"Squaw Valley, CA",California,9050,6200,2850,30,170,3600,0.25,900,0.45,1620,0.3,1080,36.74,-119.25
"Standing Rocks, WI",Wisconsin,,,125,3,5,300,0.25,75,0.5,150,0.25,75,44.43,-89.41
"Steamboat, CO",Colorado,10568,6900,3668,18,165,2965,0.14,415.1,0.42,1245.3,0.44,1304.6,40.8,-106.95
"Stevens Pass, WA",Washington,5845,4601,1800,10,37,1125,0.11,123.75,0.54,607.5,0.35,393.75,47.75,-121.09
"Stowe Mountain, VT",Vermont,4395,1280,2160,13,116,485,0.16,77.6,0.59,286.15,0.25,121.25,42.75,-72.74
"Stratton Mountain, VT",Vermont,3875,1872,2003,11,95,625,0.41,256.25,0.33,206.25,0.26,162.5,43.12,-72.9
"Sugar Bowl, CA",California,8383,6883,1500,13,103,1650,0.17,280.5,0.45,742.5,0.38,627,39.27,-120.3
"Sugar Mountain, NC",North Carolina,5300,4100,1200,8,20,115,0.4,46,0.4,46,0.2,23,36.12,-81.86
"Sugarbush, VT",Vermont,4083,1483,2600,16,111,578,0.2,115.6,0.45,260.1,0.35,202.3,44.12,-72.83
"Sugarloaf, ME",Maine,4237,1417,2820,15,145,1670,0.23,384.1,0.33,551.1,0.44,734.8,44.56,-70.43
"Suicide Six, VT",Vermont,1200,550,650,3,23,100,0.3,30,0.4,40,0.3,30,44.57,-72.57
"Summit, OR",Oregon,4300,4000,306,2,6,70,0.75,52.5,0.25,17.5,0,0,44.63,-123.58
"Sun Valley, ID",Idaho,9150,5750,3400,20,75,2054,0.36,739.44,0.42,862.68,0.22,451.88,43.69,-114.36
"Sunburst, WI",Wisconsin,1100,866,214,9,10,35,0.2,7,0.35,12.25,0.45,15.75,43.18,-89.3
"Sundance, UT",Utah,8250,6100,2150,5,42,450,0.2,90,0.4,180,0.4,180,40.41,-111.58
"Sunday River, ME",Maine,3140,800,2340,16,132,667,0.33,220.11,0.36,240.12,0.31,206.77,44.46,-70.8
"Sundown Mountain, IA",Iowa,1059,584,475,6,21,55,0.4,22,0.4,22,0.2,11,41.89,-93.1
"Sunlight, CO ",Colorado,9895,7885,2010,3,67,470,0.2,94,0.55,258.5,0.25,117.5,39.4,-107.34
"Sunrise Park, AZ",Arizona,1100,9200,1800,8,65,800,0.4,320,0.4,320,0.2,160,34.02,-109.53
"Swain, NY",New York,1970,1320,650,5,30,100,0.39,39,0.28,28,0.33,33,42.49,-77.87
"Swiss Valley, MI",Michigan,1200,975,225,7,11,60,0.2,12,0.6,36,0.2,12,44.32,-85.6
"Tamarack, ID",Idaho,7700,4900,2800,7,32,900,0.15,135,0.44,396,0.41,369,44.95,-116.39
"Taos Ski, NM",New Mexico,11819,9207,2612,13,110,1294,0.24,310.56,0.25,323.5,0.51,659.94,36.44,-105.61
"Telluride, CO",Colorado,13320,8750,4570,18,118,2000,0.23,460,0.36,720,0.41,820,37.94,-107.82
"Terry Peak, SD",South Dakota,7052,5900,1100,5,30,450,0.2,90,0.6,270,0.2,90,44.33,-103.83
